"","0","1","p","test"
"n","4418","4345","",""
"Age (mean (SD))","53.69 (21.30)","53.73 (21.20)","0.935",""
"Sex = 2 (%)","1341 (30.4)","1311 (30.2)","0.872",""
"Cholesterol (mean (SD))","260.36 (80.53)","259.38 (81.20)","0.570",""
"Heart.Rate (mean (SD))","75.12 (20.55)","74.92 (20.55)","0.643",""
"Family.History = 1 (%)","2188 (49.5)","2132 (49.1)","0.685",""
"Obesity = 1 (%)","2204 (49.9)","2190 (50.4)","0.644",""
"Alcohol.Consumption = 1 (%)","2620 (59.3)","2621 (60.3)","0.341",""
"Exercise.Hours.Per.Week (mean (SD))","9.98 (5.79)","10.04 (5.78)","0.623",""
"Diabetes = 1 (%)","2880 (65.2)","2836 (65.3)","0.953",""
"Diet (%)","","","0.168",""
"   1","1497 (33.9)","1394 (32.1)","",""
"   2","1460 (33.0)","1452 (33.4)","",""
"   3","1461 (33.1)","1499 (34.5)","",""
"Medication.Use = 1 (%)","2190 (49.6)","2177 (50.1)","0.633",""
"Stress.Level (%)","","","0.946",""
"   1","425 (9.6)","440 (10.1)","",""
"   2","454 (10.3)","459 (10.6)","",""
"   3","429 (9.7)","439 (10.1)","",""
"   4","455 (10.3)","455 (10.5)","",""
"   5","424 (9.6)","436 (10.0)","",""
"   6","436 (9.9)","419 (9.6)","",""
"   7","464 (10.5)","439 (10.1)","",""
"   8","447 (10.1)","432 (9.9)","",""
"   9","454 (10.3)","433 (10.0)","",""
"   10","430 (9.7)","393 (9.0)","",""
"Sedentary.Hours.Per.Day (mean (SD))","6.00 (3.47)","5.98 (3.47)","0.801",""
"Income (mean (SD))","158525.31 (80181.54)","157996.65 (80981.85)","0.759",""
"BMI (mean (SD))","28.79 (6.34)","28.99 (6.29)","0.141",""
"Triglycerides (mean (SD))","421.90 (224.63)","413.38 (222.80)","0.075",""
"Physical.Activity.Days.Per.Week (mean (SD))","3.47 (2.28)","3.51 (2.28)","0.424",""
"Sleep.Hours.Per.Day (mean (SD))","7.01 (1.98)","7.03 (2.00)","0.676",""
"Country (%)","","","0.062",""
"   1","236 (5.3)","235 (5.4)","",""
"   10","207 (4.7)","218 (5.0)","",""
"   11","221 (5.0)","215 (4.9)","",""
"   12","207 (4.7)","224 (5.2)","",""
"   13","218 (4.9)","212 (4.9)","",""
"   14","230 (5.2)","182 (4.2)","",""
"   15","241 (5.5)","207 (4.8)","",""
"   16","193 (4.4)","242 (5.6)","",""
"   17","225 (5.1)","184 (4.2)","",""
"   18","223 (5.0)","226 (5.2)","",""
"   19","205 (4.6)","224 (5.2)","",""
"   2","209 (4.7)","231 (5.3)","",""
"   20","213 (4.8)","244 (5.6)","",""
"   3","247 (5.6)","199 (4.6)","",""
"   4","225 (5.1)","203 (4.7)","",""
"   5","242 (5.5)","235 (5.4)","",""
"   6","219 (5.0)","214 (4.9)","",""
"   7","235 (5.3)","227 (5.2)","",""
"   8","216 (4.9)","209 (4.8)","",""
"   9","206 (4.7)","214 (4.9)","",""
"Hemisphere = 1 (%)","2890 (65.4)","2770 (63.8)","0.109",""
"High.Blood.Pressure (mean (SD))","135.39 (26.61)","134.76 (26.08)","0.264",""
"Low.Blood.Pressure (mean (SD))","85.03 (14.65)","85.29 (14.70)","0.409",""
"Heart.Attack.Risk = 1 (%)","1582 (35.8)","1557 (35.8)","0.997",""
"Smoking = 1 (%)","3963 (89.7)","3896 (89.7)","0.985",""
"Continent (%)","","","0.064",""
"   1","1327 (30.0)","1216 (28.0)","",""
"   2","1127 (25.5)","1114 (25.6)","",""
"   3","457 (10.3)","416 (9.6)","",""
"   4","415 (9.4)","445 (10.2)","",""
"   5","676 (15.3)","686 (15.8)","",""
"   6","416 (9.4)","468 (10.8)","",""
