"","0","1","p","test"
"n","4369","4394","",""
"Age (mean (SD))","53.88 (21.48)","53.54 (21.02)","0.446",""
"Sex = 2 (%)","1327 (30.4)","1325 (30.2)","0.842",""
"Cholesterol (mean (SD))","261.08 (81.02)","258.68 (80.70)","0.165",""
"Heart.Rate (mean (SD))","74.76 (20.65)","75.28 (20.45)","0.234",""
"Diabetes = 1 (%)","2823 (64.6)","2893 (65.8)","0.237",""
"Family.History = 1 (%)","2157 (49.4)","2163 (49.2)","0.909",""
"Continent (%)","","","0.996",""
"   1","1276 (29.2)","1267 (28.8)","",""
"   2","1117 (25.6)","1124 (25.6)","",""
"   3","432 (9.9)","441 (10.0)","",""
"   4","422 (9.7)","438 (10.0)","",""
"   5","681 (15.6)","681 (15.5)","",""
"   6","441 (10.1)","443 (10.1)","",""
"Alcohol.Consumption = 1 (%)","2665 (61.0)","2576 (58.6)","0.025",""
"Exercise.Hours.Per.Week (mean (SD))","10.00 (5.83)","10.03 (5.74)","0.844",""
"Diet (%)","","","0.725",""
"   1","1456 (33.3)","1435 (32.7)","",""
"   2","1436 (32.9)","1476 (33.6)","",""
"   3","1477 (33.8)","1483 (33.8)","",""
"Previous.Heart.Problems = 1 (%)","2155 (49.3)","2190 (49.8)","0.644",""
"Medication.Use = 1 (%)","2191 (50.1)","2176 (49.5)","0.572",""
"Stress.Level (%)","","","0.090",""
"   1","447 (10.2)","418 (9.5)","",""
"   2","442 (10.1)","471 (10.7)","",""
"   3","451 (10.3)","417 (9.5)","",""
"   4","463 (10.6)","447 (10.2)","",""
"   5","429 (9.8)","431 (9.8)","",""
"   6","400 (9.2)","455 (10.4)","",""
"   7","449 (10.3)","454 (10.3)","",""
"   8","434 (9.9)","445 (10.1)","",""
"   9","472 (10.8)","415 (9.4)","",""
"   10","382 (8.7)","441 (10.0)","",""
"Sedentary.Hours.Per.Day (mean (SD))","6.00 (3.46)","5.99 (3.48)","0.901",""
"Income (mean (SD))","158575.91 (80689.90)","157952.23 (80468.95)","0.717",""
"BMI (mean (SD))","28.93 (6.32)","28.85 (6.32)","0.571",""
"Triglycerides (mean (SD))","417.35 (223.95)","418.00 (223.57)","0.891",""
"Physical.Activity.Days.Per.Week (mean (SD))","3.48 (2.29)","3.50 (2.28)","0.617",""
"Sleep.Hours.Per.Day (mean (SD))","7.03 (1.99)","7.01 (1.99)","0.619",""
"Country (%)","","","0.950",""
"   1","236 (5.4)","235 (5.3)","",""
"   10","207 (4.7)","218 (5.0)","",""
"   11","214 (4.9)","222 (5.1)","",""
"   12","217 (5.0)","214 (4.9)","",""
"   13","231 (5.3)","199 (4.5)","",""
"   14","209 (4.8)","203 (4.6)","",""
"   15","220 (5.0)","228 (5.2)","",""
"   16","226 (5.2)","209 (4.8)","",""
"   17","205 (4.7)","204 (4.6)","",""
"   18","215 (4.9)","234 (5.3)","",""
"   19","217 (5.0)","212 (4.8)","",""
"   2","213 (4.9)","227 (5.2)","",""
"   20","223 (5.1)","234 (5.3)","",""
"   3","202 (4.6)","244 (5.6)","",""
"   4","221 (5.1)","207 (4.7)","",""
"   5","244 (5.6)","233 (5.3)","",""
"   6","220 (5.0)","213 (4.8)","",""
"   7","228 (5.2)","234 (5.3)","",""
"   8","212 (4.9)","213 (4.8)","",""
"   9","209 (4.8)","211 (4.8)","",""
"Hemisphere = 1 (%)","2804 (64.2)","2856 (65.0)","0.436",""
"High.Blood.Pressure (mean (SD))","135.13 (26.38)","135.03 (26.33)","0.858",""
"Low.Blood.Pressure (mean (SD))","85.46 (14.63)","84.86 (14.72)","0.054",""
"Heart.Attack.Risk = 1 (%)","1593 (36.5)","1546 (35.2)","0.221",""
"Smoking = 1 (%)","3913 (89.6)","3946 (89.8)","0.737",""
