"","1","2","3","4","5","6","7","8","9","10","p","test"
"n","865","913","868","910","860","855","903","879","887","823","",""
"Age (mean (SD))","53.68 (20.91)","52.77 (21.03)","53.31 (21.78)","53.52 (21.05)","53.30 (20.93)","53.72 (21.58)","54.67 (21.56)","53.82 (20.95)","53.39 (21.09)","54.99 (21.64)","0.578",""
"Medication.Use = 1 (%)","437 (50.5)","461 (50.5)","443 (51.0)","427 (46.9)","414 (48.1)","410 (48.0)","450 (49.8)","482 (54.8)","465 (52.4)","378 (45.9)","0.008",""
"Cholesterol (mean (SD))","264.43 (80.99)","261.51 (80.74)","258.34 (80.13)","261.16 (79.65)","265.35 (79.68)","256.28 (80.76)","260.03 (79.73)","256.70 (82.01)","258.19 (83.34)","256.55 (81.43)","0.189",""
"Heart.Rate (mean (SD))","75.49 (20.70)","74.46 (20.27)","75.88 (20.78)","75.50 (20.10)","73.93 (20.73)","75.03 (21.46)","74.36 (19.93)","76.02 (20.33)","74.67 (20.70)","74.89 (20.56)","0.451",""
"Family.History = 1 (%)","404 (46.7)","466 (51.0)","430 (49.5)","426 (46.8)","413 (48.0)","407 (47.6)","471 (52.2)","448 (51.0)","443 (49.9)","412 (50.1)","0.242",""
"Obesity = 1 (%)","418 (48.3)","471 (51.6)","417 (48.0)","447 (49.1)","431 (50.1)","455 (53.2)","454 (50.3)","445 (50.6)","415 (46.8)","441 (53.6)","0.090",""
"Previous.Heart.Problems = 1 (%)","440 (50.9)","459 (50.3)","439 (50.6)","455 (50.0)","436 (50.7)","419 (49.0)","439 (48.6)","432 (49.1)","433 (48.8)","393 (47.8)","0.946",""
"Exercise.Hours.Per.Week (mean (SD))","9.98 (5.79)","10.11 (5.79)","10.11 (5.82)","10.05 (5.79)","10.40 (5.79)","9.79 (5.85)","9.83 (5.60)","9.84 (5.69)","10.06 (5.80)","9.98 (5.92)","0.596",""
"Diabetes = 1 (%)","550 (63.6)","600 (65.7)","572 (65.9)","601 (66.0)","545 (63.4)","571 (66.8)","581 (64.3)","561 (63.8)","581 (65.5)","554 (67.3)","0.692",""
"Diet (%)","","","","","","","","","","","0.297",""
"   1","280 (32.4)","303 (33.2)","295 (34.0)","310 (34.1)","313 (36.4)","278 (32.5)","277 (30.7)","284 (32.3)","291 (32.8)","260 (31.6)","",""
"   2","292 (33.8)","328 (35.9)","281 (32.4)","277 (30.4)","259 (30.1)","279 (32.6)","325 (36.0)","293 (33.3)","309 (34.8)","269 (32.7)","",""
"   3","293 (33.9)","282 (30.9)","292 (33.6)","323 (35.5)","288 (33.5)","298 (34.9)","301 (33.3)","302 (34.4)","287 (32.4)","294 (35.7)","",""
"Alcohol.Consumption = 1 (%)","532 (61.5)","558 (61.1)","507 (58.4)","554 (60.9)","504 (58.6)","496 (58.0)","522 (57.8)","532 (60.5)","546 (61.6)","490 (59.5)","0.602",""
"Sex = 2 (%)","244 (28.2)","264 (28.9)","272 (31.3)","272 (29.9)","265 (30.8)","251 (29.4)","260 (28.8)","258 (29.4)","294 (33.1)","272 (33.0)","0.256",""
"Sedentary.Hours.Per.Day (mean (SD))","6.20 (3.52)","5.85 (3.47)","6.04 (3.40)","5.87 (3.44)","6.05 (3.53)","6.10 (3.43)","5.84 (3.43)","6.07 (3.43)","5.98 (3.53)","5.95 (3.48)","0.424",""
"Income (mean (SD))","158717.94 (81918.42)","158105.27 (80879.43)","157042.87 (79358.72)","158559.17 (81621.07)","161396.19 (79573.83)","159034.98 (79075.52)","159683.66 (80470.93)","153607.84 (81813.56)","155116.82 (80883.41)","161649.07 (80019.40)","0.571",""
"BMI (mean (SD))","29.30 (6.38)","28.53 (6.21)","28.81 (6.33)","28.85 (6.35)","29.10 (6.36)","28.86 (6.09)","28.82 (6.27)","28.77 (6.50)","29.22 (6.47)","28.65 (6.21)","0.225",""
"Triglycerides (mean (SD))","417.54 (221.76)","421.81 (219.60)","422.39 (228.08)","413.88 (219.27)","418.90 (226.71)","417.86 (227.72)","412.79 (221.52)","411.68 (224.42)","420.83 (224.29)","419.35 (225.44)","0.986",""
